1,2,3,4,5
0.35,262.5,37.8,20,7.5600000000000005
0.35,262.5,43.9,20,8.78
0.35,262.5,42.1,20,8.42
0.35,262.5,44.7,20,8.94
0.35,262.5,41.6,20,8.32
0.35,262.5,42.1,20,8.42
0.35,262.5,35.1,20,7.0200000000000005
0.35,262.5,36.2,20,7.24
0.35,262.5,41.0,20,8.2
0.35,262.5,41.5,20,8.3
0.35,262.5,40.1,20,8.02
0.35,262.5,39.6,20,7.92
0.35,262.5,40.6,20,8.120000000000001
0.35,262.5,51.2,20,10.24
0.35,262.5,48.6,20,9.72
0.35,262.5,45.4,20,9.08
0.35,262.5,48.7,20,9.74
0.35,262.5,44.3,20,8.86
0.35,262.5,43.7,20,8.74
0.35,262.5,50.2,20,10.040000000000001
0.35,262.5,52.1,20,10.42
0.35,262.5,54.5,20,10.9
0.35,262.5,50.1,20,10.02
0.35,262.5,49.7,20,9.94
0.35,262.5,52.8,20,10.56
0.35,262.5,53.6,20,10.72
0.35,262.5,51.3,20,10.26
0.35,262.5,49.7,20,9.94
0.35,262.5,47.3,20,9.46
0.35,262.5,43.5,20,8.700000000000001
0.35,262.5,46.2,20,9.24
0.35,262.5,56.6,20,11.32
0.35,262.5,49.8,20,9.96
0.35,262.5,52.4,20,10.48
0.35,262.5,38.2,20,7.640000000000001
0.35,262.5,44.8,20,8.96
0.35,262.5,54.9,20,10.98
0.35,262.5,41.5,20,8.3
0.35,262.5,55.1,20,11.02
0.35,262.5,54.3,20,10.86
0.35,262.5,45.8,20,9.16
0.35,262.5,51.1,20,10.22
0.35,262.5,40.0,20,8.0
0.35,262.5,46.1,20,9.22
0.35,262.5,41.1,20,8.22
0.35,262.5,39.8,20,7.96
0.35,262.5,36.7,20,7.34
0.35,262.5,42.0,20,8.4
0.35,262.5,41.8,20,8.36
0.35,262.5,46.5,20,9.3
0.35,262.5,50.1,20,10.02
0.35,262.5,54.0,20,10.8
0.35,262.5,45.6,20,9.120000000000001
0.35,262.5,41.0,20,8.2
0.35,262.5,47.6,20,9.52
0.35,262.5,51.3,20,10.26
0.35,262.5,43.8,20,8.76
0.35,262.5,44.7,20,8.94
0.35,262.5,41.1,20,8.22
0.35,262.5,42.3,20,8.46
0.35,262.5,40.5,20,8.1
0.35,262.5,39.7,20,7.94
0.35,262.5,45.2,20,9.040000000000001
0.35,262.5,39.9,20,7.98
0.35,262.5,42.7,20,8.540000000000001
0.35,262.5,42.1,20,8.42
0.35,262.5,41.8,20,8.36
0.35,262.5,52.3,20,10.46
0.35,262.5,49.7,20,9.94
0.35,262.5,56.2,20,11.24
0.35,262.5,47.4,20,9.48
0.35,262.5,42.6,20,8.52
0.35,262.5,41.1,20,8.22
0.35,262.5,54.3,20,10.86
0.35,262.5,49.5,20,9.9
0.35,262.5,45.2,20,9.040000000000001
0.35,262.5,38.9,20,7.78
0.35,262.5,46.4,20,9.28
0.35,262.5,44.6,20,8.92
0.35,262.5,41.3,20,8.26
0.35,262.5,39.4,20,7.88
0.35,262.5,36.9,20,7.38
0.35,262.5,43.7,20,8.74
0.35,262.5,43.1,20,8.620000000000001
0.35,262.5,41.5,20,8.3
0.35,262.5,44.2,20,8.84
0.35,262.5,46.9,20,9.38
0.35,262.5,45.8,20,9.16
0.35,262.5,49.1,20,9.82
0.35,262.5,44.9,20,8.98
