Концентрация CH4,"Расход смеси, м3/мин","Расход CH4, м3/мин"
37.5,20,7.5
39.6,20,7.92
51.0,20,10.200000000000001
45.6,20,9.120000000000001
40.1,20,8.02
37.8,20,7.5600000000000005
39.2,20,7.84
34.5,20,6.9
30.5,20,6.1000000000000005
38.9,20,7.78
44.1,20,8.82
44.8,20,8.96
42.9,20,8.58
46.1,20,9.22
45.7,20,9.14
44.6,20,8.92
47.9,20,9.58
49.2,20,9.84
46.8,20,9.36
41.6,20,8.32
55.4,20,11.08
69.3,20,13.86
47.8,20,9.56
43.6,20,8.72
46.8,20,9.36
49.2,20,9.84
56.1,20,11.22
51.8,20,10.36
46.4,20,9.28
70.1,20,14.02
67.4,20,13.48
70.7,20,14.14
69.8,20,13.96
71.2,20,14.24
64.6,20,12.92
69.3,20,13.86
59.1,20,11.82
46.1,20,9.22
49.6,20,9.92
50.5,20,10.1
46.2,20,9.24
44.1,20,8.82
46.8,20,9.36
45.5,20,9.1
48.8,20,9.76
46.6,20,9.32
45.7,20,9.14
